Date,^BSESN
2013-12-31,20513.849609375
2014-01-31,21120.119140625
2014-02-28,22386.26953125
2014-03-31,22417.80078125
2014-04-30,24217.33984375
2014-05-31,25413.779296875
2014-06-30,25894.970703125
2014-07-31,26638.109375
2014-08-31,26630.509765625
2014-09-30,27865.830078125
2014-10-31,28693.990234375
2014-11-30,27499.419921875
2014-12-31,29182.94921875
2015-01-31,29220.119140625
2015-02-28,27957.490234375
2015-03-31,27011.310546875
2015-04-30,27828.439453125
2015-05-31,27780.830078125
2015-06-30,28114.560546875
2015-07-31,26283.08984375
2015-08-31,26154.830078125
2015-09-30,26656.830078125
2015-10-31,26145.669921875
2015-11-30,26117.5390625
2015-12-31,24870.689453125
2016-01-31,23002.0
2016-02-29,25341.859375
2016-03-31,25606.619140625
2016-04-30,26667.9609375
2016-05-31,26999.720703125
2016-06-30,28051.859375
2016-07-31,28452.169921875
2016-08-31,27865.9609375
2016-09-30,27941.509765625
2016-10-31,26652.810546875
2016-11-30,26626.4609375
2016-12-31,27655.9609375
2017-01-31,28743.3203125
2017-02-28,29620.5
2017-03-31,29918.400390625
2017-04-30,31145.80078125
2017-05-31,30921.609375
2017-06-30,32514.939453125
2017-07-31,31730.490234375
2017-08-31,31283.720703125
2017-09-30,33213.12890625
2017-10-31,33149.3515625
2017-11-30,34056.828125
2017-12-31,35965.01953125
2018-01-31,34184.0390625
2018-02-28,32968.6796875
2018-03-31,35160.359375
2018-04-30,35322.37890625
2018-05-31,35423.48046875
2018-06-30,37606.578125
2018-07-31,38645.0703125
2018-08-31,36227.140625
2018-09-30,34442.05078125
2018-10-31,36194.30078125
2018-11-30,36068.328125